Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
東アジア・太平洋地域,JPN,日本,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,YES
東アジア・太平洋地域,JPN,日本,Revenue Potential,0.082,,すべてのジャンル,YES
東アジア・太平洋地域,TWN,台湾,(Paid UA) CPP,5.000,bad,すべてのジャンル,
東アジア・太平洋地域,TWN,台湾,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,
東アジア・太平洋地域,TWN,台湾,Revenue Potential,0.035,,すべてのジャンル,
東アジア・太平洋地域,HKG,香港,(Paid UA) CPP,4.000,bad,すべてのジャンル,YES
東アジア・太平洋地域,HKG,香港,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,YES
東アジア・太平洋地域,HKG,香港,Revenue Potential,0.017,,すべてのジャンル,YES
東アジア・太平洋地域,SGP,シンガポール,(Paid UA) CPP,5.000,bad,すべてのジャンル,
東アジア・太平洋地域,SGP,シンガポール,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,
東アジア・太平洋地域,SGP,シンガポール,Revenue Potential,0.005,,すべてのジャンル,
欧州・中東（グループ1）,All countries,すべての国,(Paid UA) CPP,4.000,bad,すべてのジャンル,
欧州・中東（グループ1）,All countries,すべての国,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,
欧州・中東（グループ1）,All countries,すべての国,Revenue Potential,0.140,,すべてのジャンル,
欧州・中東（グループ1）,DEU,ドイツ,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,DEU,ドイツ,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,DEU,ドイツ,Revenue Potential,0.049,,すべてのジャンル,YES
欧州・中東（グループ1）,FRA,フランス,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,FRA,フランス,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,FRA,フランス,Revenue Potential,0.028,,すべてのジャンル,YES
欧州・中東（グループ1）,ITA,イタリア,(Paid UA) CPP,3.000,medium,すべてのジャンル,YES
欧州・中東（グループ1）,ITA,イタリア,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,YES
欧州・中東（グループ1）,ITA,イタリア,Revenue Potential,0.013,,すべてのジャンル,YES
欧州・中東（グループ1）,ESP,スペイン,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,ESP,スペイン,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,YES
欧州・中東（グループ1）,ESP,スペイン,Revenue Potential,0.009,,すべてのジャンル,YES
欧州・中東（グループ1）,NLD,オランダ,(Paid UA) CPP,3.000,medium,すべてのジャンル,YES
欧州・中東（グループ1）,NLD,オランダ,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,NLD,オランダ,Revenue Potential,0.008,,すべてのジャンル,YES
欧州・中東（グループ1）,CHE,スイス,(Paid UA) CPP,5.000,bad,すべてのジャンル,YES
欧州・中東（グループ1）,CHE,スイス,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,CHE,スイス,Revenue Potential,0.006,,すべてのジャンル,YES
欧州・中東（グループ1）,AUT,オーストリア,(Paid UA) CPP,4.000,bad,すべてのジャンル,
欧州・中東（グループ1）,AUT,オーストリア,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,
欧州・中東（グループ1）,AUT,オーストリア,Revenue Potential,0.005,,すべてのジャンル,
欧州・中東（グループ1）,BEL,ベルギー,(Paid UA) CPP,4.000,bad,すべてのジャンル,
欧州・中東（グループ1）,BEL,ベルギー,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
欧州・中東（グループ1）,BEL,ベルギー,Revenue Potential,0.004,,すべてのジャンル,
欧州・中東（グループ1）,SWE,スウェーデン,(Paid UA) CPP,4.000,bad,すべてのジャンル,
欧州・中東（グループ1）,SWE,スウェーデン,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
欧州・中東（グループ1）,SWE,スウェーデン,Revenue Potential,0.004,,すべてのジャンル,
欧州・中東（グループ1）,ISR,イスラエル,(Paid UA) CPP,5.000,bad,すべてのジャンル,YES
欧州・中東（グループ1）,ISR,イスラエル,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,ISR,イスラエル,Revenue Potential,0.003,,すべてのジャンル,YES
欧州・中東（グループ1）,NOR,ノルウェイ,(Paid UA) CPP,5.000,bad,すべてのジャンル,
欧州・中東（グループ1）,NOR,ノルウェイ,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,
欧州・中東（グループ1）,NOR,ノルウェイ,Revenue Potential,0.003,,すべてのジャンル,
欧州・中東（グループ1）,ARE,アラブ首長国連邦,(Paid UA) CPP,5.000,bad,すべてのジャンル,YES
欧州・中東（グループ1）,ARE,アラブ首長国連邦,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,ARE,アラブ首長国連邦,Revenue Potential,0.003,,すべてのジャンル,YES
欧州・中東（グループ1）,DNK,デンマーク,(Paid UA) CPP,4.000,bad,すべてのジャンル,
欧州・中東（グループ1）,DNK,デンマーク,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,
欧州・中東（グループ1）,DNK,デンマーク,Revenue Potential,0.003,,すべてのジャンル,
欧州・中東（グループ1）,KWT,クウェート,(Paid UA) CPP,5.000,bad,すべてのジャンル,
欧州・中東（グループ1）,KWT,クウェート,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,
欧州・中東（グループ1）,KWT,クウェート,Revenue Potential,0.002,,すべてのジャンル,
欧州・中東（グループ1）,QAT,カタール,(Paid UA) CPP,5.000,bad,すべてのジャンル,
欧州・中東（グループ1）,QAT,カタール,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,
欧州・中東（グループ1）,QAT,カタール,Revenue Potential,0.001,,すべてのジャンル,
欧州・中東（グループ1）,ISL,アイスランド,(Paid UA) CPP,5.000,bad,すべてのジャンル,YES
欧州・中東（グループ1）,ISL,アイスランド,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,YES
欧州・中東（グループ1）,ISL,アイスランド,Revenue Potential,0.000,,すべてのジャンル,YES
欧州・中東（グループ2）,All countries,すべての国,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,All countries,すべての国,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
欧州・中東（グループ2）,All countries,すべての国,Revenue Potential,0.056,,すべてのジャンル,
欧州・中東（グループ2）,RUS,ロシア,(Paid UA) CPP,1.000,good,すべてのジャンル,
欧州・中東（グループ2）,RUS,ロシア,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
欧州・中東（グループ2）,RUS,ロシア,Revenue Potential,0.013,,すべてのジャンル,
欧州・中東（グループ2）,TUR,トルコ,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,TUR,トルコ,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
欧州・中東（グループ2）,TUR,トルコ,Revenue Potential,0.010,,すべてのジャンル,
欧州・中東（グループ2）,POL,ポーランド,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
欧州・中東（グループ2）,POL,ポーランド,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,YES
欧州・中東（グループ2）,POL,ポーランド,Revenue Potential,0.008,,すべてのジャンル,YES
欧州・中東（グループ2）,SAU,サウジアラビア,(Paid UA) CPP,5.000,bad,すべてのジャンル,
欧州・中東（グループ2）,SAU,サウジアラビア,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,
欧州・中東（グループ2）,SAU,サウジアラビア,Revenue Potential,0.004,,すべてのジャンル,
欧州・中東（グループ2）,UKR,ウクライナ,(Paid UA) CPP,2.000,good,すべてのジャンル,
欧州・中東（グループ2）,UKR,ウクライナ,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
欧州・中東（グループ2）,UKR,ウクライナ,Revenue Potential,0.004,,すべてのジャンル,
欧州・中東（グループ2）,ROU,ルーマニア,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,ROU,ルーマニア,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
欧州・中東（グループ2）,ROU,ルーマニア,Revenue Potential,0.003,,すべてのジャンル,
欧州・中東（グループ2）,CZE,チェコ,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
欧州・中東（グループ2）,CZE,チェコ,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,YES
欧州・中東（グループ2）,CZE,チェコ,Revenue Potential,0.002,,すべてのジャンル,YES
欧州・中東（グループ2）,GRC,ギリシャ,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
欧州・中東（グループ2）,GRC,ギリシャ,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,YES
欧州・中東（グループ2）,GRC,ギリシャ,Revenue Potential,0.002,,すべてのジャンル,YES
欧州・中東（グループ2）,PRT,ポルトガル,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,PRT,ポルトガル,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,PRT,ポルトガル,Revenue Potential,0.002,,すべてのジャンル,
欧州・中東（グループ2）,HUN,ハンガリー,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,HUN,ハンガリー,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
欧州・中東（グループ2）,HUN,ハンガリー,Revenue Potential,0.001,,すべてのジャンル,
欧州・中東（グループ2）,FIN,フィンランド,(Paid UA) CPP,4.000,bad,すべてのジャンル,
欧州・中東（グループ2）,FIN,フィンランド,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,
欧州・中東（グループ2）,FIN,フィンランド,Revenue Potential,0.001,,すべてのジャンル,
欧州・中東（グループ2）,BGR,ブルガリア,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,BGR,ブルガリア,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
欧州・中東（グループ2）,BGR,ブルガリア,Revenue Potential,0.001,,すべてのジャンル,
欧州・中東（グループ2）,SVK,スロベニア,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,SVK,スロベニア,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,SVK,スロベニア,Revenue Potential,0.001,,すべてのジャンル,
欧州・中東（グループ2）,HRV,クロアチア,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
欧州・中東（グループ2）,HRV,クロアチア,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,YES
欧州・中東（グループ2）,HRV,クロアチア,Revenue Potential,0.001,,すべてのジャンル,YES
欧州・中東（グループ2）,SRB,セルビア,(Paid UA) CPP,5.000,bad,すべてのジャンル,
欧州・中東（グループ2）,SRB,セルビア,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
欧州・中東（グループ2）,SRB,セルビア,Revenue Potential,0.001,,すべてのジャンル,
欧州・中東（グループ2）,BLR,ベラルーシ,(Paid UA) CPP,2.000,good,すべてのジャンル,
欧州・中東（グループ2）,BLR,ベラルーシ,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,BLR,ベラルーシ,Revenue Potential,0.001,,すべてのジャンル,
欧州・中東（グループ2）,LTU,リトアニア,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,LTU,リトアニア,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,LTU,リトアニア,Revenue Potential,0.000,,すべてのジャンル,
欧州・中東（グループ2）,LVA,ラトビア,(Paid UA) CPP,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,LVA,ラトビア,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
欧州・中東（グループ2）,LVA,ラトビア,Revenue Potential,0.000,,すべてのジャンル,
欧州・中東（グループ2）,SVN,スロベニア,(Paid UA) CPP,4.000,bad,すべてのジャンル,
欧州・中東（グループ2）,SVN,スロベニア,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,
欧州・中東（グループ2）,SVN,スロベニア,Revenue Potential,0.000,,すべてのジャンル,
欧州・中東（グループ2）,EST,エストニア,(Paid UA) CPP,4.000,bad,すべてのジャンル,YES
欧州・中東（グループ2）,EST,エストニア,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,YES
欧州・中東（グループ2）,EST,エストニア,Revenue Potential,0.000,,すべてのジャンル,YES
世界の新興市場,All countries,すべての国,(Paid UA) CPP,2.000,good,すべてのジャンル,
世界の新興市場,All countries,すべての国,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
世界の新興市場,All countries,すべての国,Revenue Potential,0.070,,すべてのジャンル,
世界の新興市場,BRA,ブラジル,(Paid UA) CPP,1.000,good,すべてのジャンル,
世界の新興市場,BRA,ブラジル,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
世界の新興市場,BRA,ブラジル,Revenue Potential,0.020,,すべてのジャンル,
世界の新興市場,THA,タイ,(Paid UA) CPP,1.000,good,すべてのジャンル,YES
世界の新興市場,THA,タイ,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,YES
世界の新興市場,THA,タイ,Revenue Potential,0.013,,すべてのジャンル,YES
世界の新興市場,IDN,インドネシア,(Paid UA) CPP,1.000,good,すべてのジャンル,
世界の新興市場,IDN,インドネシア,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
世界の新興市場,IDN,インドネシア,Revenue Potential,0.008,,すべてのジャンル,
世界の新興市場,VNM,ベトナム,(Paid UA) CPP,1.000,good,すべてのジャンル,
世界の新興市場,VNM,ベトナム,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
世界の新興市場,VNM,ベトナム,Revenue Potential,0.007,,すべてのジャンル,
世界の新興市場,PHL,フィリピン,(Paid UA) CPP,1.000,good,すべてのジャンル,
世界の新興市場,PHL,フィリピン,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
世界の新興市場,PHL,フィリピン,Revenue Potential,0.006,,すべてのジャンル,
世界の新興市場,IND,インド,(Paid UA) CPP,1.000,good,すべてのジャンル,YES
世界の新興市場,IND,インド,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,YES
世界の新興市場,IND,インド,Revenue Potential,0.005,,すべてのジャンル,YES
世界の新興市場,MYS,マレーシア,(Paid UA) CPP,1.000,good,すべてのジャンル,YES
世界の新興市場,MYS,マレーシア,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,YES
世界の新興市場,MYS,マレーシア,Revenue Potential,0.005,,すべてのジャンル,YES
世界の新興市場,ZAF,南アフリカ,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
世界の新興市場,ZAF,南アフリカ,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,YES
世界の新興市場,ZAF,南アフリカ,Revenue Potential,0.003,,すべてのジャンル,YES
世界の新興市場,KAZ,カザフスタン,(Paid UA) CPP,2.000,good,すべてのジャンル,
世界の新興市場,KAZ,カザフスタン,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
世界の新興市場,KAZ,カザフスタン,Revenue Potential,0.001,,すべてのジャンル,
世界の新興市場,EGY,エジプト,(Paid UA) CPP,5.000,bad,すべてのジャンル,
世界の新興市場,EGY,エジプト,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
世界の新興市場,EGY,エジプト,Revenue Potential,0.001,,すべてのジャンル,
世界の新興市場,IRQ,イラク,(Paid UA) CPP,5.000,bad,すべてのジャンル,
世界の新興市場,IRQ,イラク,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
世界の新興市場,IRQ,イラク,Revenue Potential,0.000,,すべてのジャンル,
中南米スペイン語圏,All countries,すべての国,(Paid UA) CPP,2.000,good,すべてのジャンル,
中南米スペイン語圏,All countries,すべての国,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
中南米スペイン語圏,All countries,すべての国,Revenue Potential,0.016,,すべてのジャンル,
中南米スペイン語圏,MEX,メキシコ,(Paid UA) CPP,1.000,good,すべてのジャンル,
中南米スペイン語圏,MEX,メキシコ,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
中南米スペイン語圏,MEX,メキシコ,Revenue Potential,0.008,,すべてのジャンル,
中南米スペイン語圏,CHL,チリ,(Paid UA) CPP,1.000,good,すべてのジャンル,
中南米スペイン語圏,CHL,チリ,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
中南米スペイン語圏,CHL,チリ,Revenue Potential,0.002,,すべてのジャンル,
中南米スペイン語圏,COL,コロンビア,(Paid UA) CPP,1.000,good,すべてのジャンル,
中南米スペイン語圏,COL,コロンビア,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
中南米スペイン語圏,COL,コロンビア,Revenue Potential,0.001,,すべてのジャンル,
中南米スペイン語圏,ARG,アルゼンチン,(Paid UA) CPP,1.000,good,すべてのジャンル,
中南米スペイン語圏,ARG,アルゼンチン,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
中南米スペイン語圏,ARG,アルゼンチン,Revenue Potential,0.001,,すべてのジャンル,
中南米スペイン語圏,PER,ペルー,(Paid UA) CPP,1.000,good,すべてのジャンル,
中南米スペイン語圏,PER,ペルー,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
中南米スペイン語圏,PER,ペルー,Revenue Potential,0.001,,すべてのジャンル,
中南米スペイン語圏,PRI,プエルトリコ,(Paid UA) CPP,4.000,bad,すべてのジャンル,
中南米スペイン語圏,PRI,プエルトリコ,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
中南米スペイン語圏,PRI,プエルトリコ,Revenue Potential,0.001,,すべてのジャンル,
中南米スペイン語圏,CRI,コスタリカ,(Paid UA) CPP,1.000,good,すべてのジャンル,
中南米スペイン語圏,CRI,コスタリカ,(Paid UA) D7 ARPPU,1.000,bad,すべてのジャンル,
中南米スペイン語圏,CRI,コスタリカ,Revenue Potential,0.000,,すべてのジャンル,
米国および英語圏,All countries,すべての国,(Paid UA) CPP,3.000,medium,マッチング,
米国および英語圏,All countries,すべての国,(Paid UA) D7 ARPPU,3.000,medium,マッチング,
米国および英語圏,All countries,すべての国,Revenue Potential,0.625,,マッチング,
米国および英語圏,USA,米国,(Paid UA) CPP,2.000,good,マッチング,YES
米国および英語圏,USA,米国,(Paid UA) D7 ARPPU,2.000,bad,マッチング,YES
米国および英語圏,USA,米国,Revenue Potential,0.514,,マッチング,YES
米国および英語圏,GBR,英国,(Paid UA) CPP,1.000,good,マッチング,YES
米国および英語圏,GBR,英国,(Paid UA) D7 ARPPU,2.000,bad,マッチング,YES
米国および英語圏,GBR,英国,Revenue Potential,0.060,,マッチング,YES
米国および英語圏,CAN,カナダ,(Paid UA) CPP,3.000,medium,マッチング,
米国および英語圏,CAN,カナダ,(Paid UA) D7 ARPPU,2.000,bad,マッチング,
米国および英語圏,CAN,カナダ,Revenue Potential,0.023,,マッチング,
米国および英語圏,AUS,オーストラリア,(Paid UA) CPP,2.000,good,マッチング,YES
米国および英語圏,AUS,オーストラリア,(Paid UA) D7 ARPPU,3.000,medium,マッチング,YES
米国および英語圏,AUS,オーストラリア,Revenue Potential,0.022,,マッチング,YES
米国および英語圏,NZL,ニュージーランド,(Paid UA) CPP,4.000,bad,マッチング,
米国および英語圏,NZL,ニュージーランド,(Paid UA) D7 ARPPU,4.000,good,マッチング,
米国および英語圏,NZL,ニュージーランド,Revenue Potential,0.003,,マッチング,
米国および英語圏,IRL,アイルランド,(Paid UA) CPP,5.000,bad,マッチング,
米国および英語圏,IRL,アイルランド,(Paid UA) D7 ARPPU,5.000,good,マッチング,
米国および英語圏,IRL,アイルランド,Revenue Potential,0.002,,マッチング,
東アジア・太平洋地域,All countries,すべての国,(Paid UA) CPP,4.000,bad,マッチング,
東アジア・太平洋地域,All countries,すべての国,(Paid UA) D7 ARPPU,4.000,good,マッチング,
東アジア・太平洋地域,All countries,すべての国,Revenue Potential,0.114,,マッチング,
東アジア・太平洋地域,KOR,韓国,(Paid UA) CPP,3.000,medium,マッチング,
東アジア・太平洋地域,KOR,韓国,(Paid UA) D7 ARPPU,3.000,medium,マッチング,
東アジア・太平洋地域,KOR,韓国,Revenue Potential,0.043,,マッチング,
東アジア・太平洋地域,JPN,日本,(Paid UA) CPP,3.000,medium,マッチング,
東アジア・太平洋地域,JPN,日本,(Paid UA) D7 ARPPU,2.000,bad,マッチング,
東アジア・太平洋地域,JPN,日本,Revenue Potential,0.057,,マッチング,
東アジア・太平洋地域,TWN,台湾,(Paid UA) CPP,4.000,bad,マッチング,YES
東アジア・太平洋地域,TWN,台湾,(Paid UA) D7 ARPPU,5.000,good,マッチング,YES
東アジア・太平洋地域,TWN,台湾,Revenue Potential,0.007,,マッチング,YES
東アジア・太平洋地域,HKG,香港,(Paid UA) CPP,5.000,bad,マッチング,YES
東アジア・太平洋地域,HKG,香港,(Paid UA) D7 ARPPU,5.000,good,マッチング,YES
東アジア・太平洋地域,HKG,香港,Revenue Potential,0.003,,マッチング,YES
東アジア・太平洋地域,SGP,シンガポール,(Paid UA) CPP,5.000,bad,マッチング,
東アジア・太平洋地域,SGP,シンガポール,(Paid UA) D7 ARPPU,5.000,good,マッチング,
東アジア・太平洋地域,SGP,シンガポール,Revenue Potential,0.003,,マッチング,
欧州・中東（グループ1）,All countries,すべての国,(Paid UA) CPP,3.000,medium,マッチング,
欧州・中東（グループ1）,All countries,すべての国,(Paid UA) D7 ARPPU,4.000,good,マッチング,
欧州・中東（グループ1）,All countries,すべての国,Revenue Potential,0.152,,マッチング,
欧州・中東（グループ1）,DEU,ドイツ,(Paid UA) CPP,2.000,good,マッチング,
欧州・中東（グループ1）,DEU,ドイツ,(Paid UA) D7 ARPPU,2.000,bad,マッチング,
欧州・中東（グループ1）,DEU,ドイツ,Revenue Potential,0.057,,マッチング,
欧州・中東（グループ1）,FRA,フランス,(Paid UA) CPP,2.000,good,マッチング,YES
欧州・中東（グループ1）,FRA,フランス,(Paid UA) D7 ARPPU,2.000,bad,マッチング,YES
欧州・中東（グループ1）,FRA,フランス,Revenue Potential,0.025,,マッチング,YES
欧州・中東（グループ1）,ITA,イタリア,(Paid UA) CPP,2.000,good,マッチング,
欧州・中東（グループ1）,ITA,イタリア,(Paid UA) D7 ARPPU,3.000,medium,マッチング,
欧州・中東（グループ1）,ITA,イタリア,Revenue Potential,0.014,,マッチング,
欧州・中東（グループ1）,ESP,スペイン,(Paid UA) CPP,2.000,good,マッチング,YES
欧州・中東（グループ1）,ESP,スペイン,(Paid UA) D7 ARPPU,4.000,good,マッチング,YES
欧州・中東（グループ1）,ESP,スペイン,Revenue Potential,0.010,,マッチング,YES
欧州・中東（グループ1）,NLD,オランダ,(Paid UA) CPP,3.000,medium,マッチング,YES
欧州・中東（グループ1）,NLD,オランダ,(Paid UA) D7 ARPPU,4.000,good,マッチング,YES
欧州・中東（グループ1）,NLD,オランダ,Revenue Potential,0.009,,マッチング,YES
欧州・中東（グループ1）,CHE,スイス,(Paid UA) CPP,5.000,bad,マッチング,
欧州・中東（グループ1）,CHE,スイス,(Paid UA) D7 ARPPU,5.000,good,マッチング,
欧州・中東（グループ1）,CHE,スイス,Revenue Potential,0.008,,マッチング,
欧州・中東（グループ1）,AUT,オーストリア,(Paid UA) CPP,4.000,bad,マッチング,YES
欧州・中東（グループ1）,AUT,オーストリア,(Paid UA) D7 ARPPU,5.000,good,マッチング,YES
欧州・中東（グループ1）,AUT,オーストリア,Revenue Potential,0.006,,マッチング,YES
欧州・中東（グループ1）,BEL,ベルギー,(Paid UA) CPP,3.000,medium,マッチング,YES
欧州・中東（グループ1）,BEL,ベルギー,(Paid UA) D7 ARPPU,4.000,good,マッチング,YES
欧州・中東（グループ1）,BEL,ベルギー,Revenue Potential,0.004,,マッチング,YES
欧州・中東（グループ1）,SWE,スウェーデン,(Paid UA) CPP,4.000,bad,マッチング,
欧州・中東（グループ1）,SWE,スウェーデン,(Paid UA) D7 ARPPU,4.000,good,マッチング,
欧州・中東（グループ1）,SWE,スウェーデン,Revenue Potential,0.006,,マッチング,
欧州・中東（グループ1）,ISR,イスラエル,(Paid UA) CPP,5.000,bad,マッチング,YES
欧州・中東（グループ1）,ISR,イスラエル,(Paid UA) D7 ARPPU,5.000,good,マッチング,YES
欧州・中東（グループ1）,ISR,イスラエル,Revenue Potential,0.002,,マッチング,YES
欧州・中東（グループ1）,NOR,ノルウェイ,(Paid UA) CPP,5.000,bad,マッチング,YES
欧州・中東（グループ1）,NOR,ノルウェイ,(Paid UA) D7 ARPPU,5.000,good,マッチング,YES
欧州・中東（グループ1）,NOR,ノルウェイ,Revenue Potential,0.004,,マッチング,YES
